room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
8955217,1419,46804143,Shared room,,Salvador,SALVADOR,PASSO,0,0.0,1,1.0,,12.0,,Capsule Bed in a 6 bed dorm,Dorm,2017-07-01 20:50:05.561581,-12.971475,-38.508026,0101000020E610000044C2F7FE064143C061C3D32B65F129C0
13972410,1419,9568267,Shared room,,Salvador,SALVADOR,SANTO ANTONIO,0,0.0,2,1.0,,22.0,,White Room,Other,2017-07-01 20:50:05.559331,-12.965219,-38.501341,0101000020E61000006C921FF12B4043C0A5F44C2F31EE29C0
18596658,1419,117019298,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,1,1.0,,10.0,,Quarto no Rio Vermelho,Apartment,2017-07-01 20:50:05.554507,-13.008479,-38.495091,0101000020E6100000A0C552245F3F43C0D367075C57042AC0
9490367,1419,49188336,Shared room,,Salvador,SALVADOR,BROTAS,0,0.0,4,1.0,,12.0,,Excelent House! Good Mobility!,House,2017-07-01 20:50:05.551229,-12.987479,-38.487324,0101000020E6100000284701A2603E43C03CF9F4D896F929C0
16535364,1419,107206763,Shared room,,Salvador,SALVADOR,BROTAS,1,0.0,7,1.0,,12.0,,Great place! Great location!,House,2017-07-01 20:50:05.549014,-13.009434,-38.489975,0101000020E6100000C66D3480B73E43C0E1F08288D4042AC0
13726496,1419,80227440,Shared room,,Salvador,SALVADOR,ITAPOA,10,5.0,5,1.0,,19.0,,Comfort and tranquility in Salvador,House,2017-07-01 20:50:05.546257,-12.941227,-38.340338,0101000020E610000004CB1132902B43C071395E81E8E129C0
5754834,1419,10927131,Shared room,,Salvador,SALVADOR,SE,0,0.0,15,1.0,,11.0,,Seja Bem Vindo/a ao nosso Aconchego,Dorm,2017-07-01 20:50:05.543093,-12.972417,-38.509039,0101000020E6100000BCB1A030284143C01C261AA4E0F129C0
18673950,1419,120643340,Shared room,,Salvador,SALVADOR,AMARALINA,0,0.0,10,1.0,,25.0,,Excelente oportunidade!,Guesthouse,2017-07-01 20:50:05.539899,-13.01272,-38.485677,0101000020E6100000AFB5F7A92A3E43C09F02603C83062AC0
16448763,1419,107890706,Shared room,,Salvador,SALVADOR,SAO PEDRO,0,0.0,3,1.0,,10.0,,Nice room in Salvador da Bahia!,House,2017-07-01 20:50:05.536973,-12.979036,-38.516117,0101000020E61000006FF4311F104243C09C36E33444F529C0
11322681,1419,9568267,Shared room,,Salvador,SALVADOR,SANTO ANTONIO,0,0.0,3,1.0,,21.0,,Arara Vermelha- Single Room,House,2017-07-01 20:50:05.531393,-12.965536,-38.502397,0101000020E6100000E44D7E8B4E4043C0A8380EBC5AEE29C0
19139381,1419,58623297,Shared room,,Salvador,SALVADOR,SANTANA,0,0.0,8,1.0,,11.0,,Quarto Compartilhado Ventilador,Hostel,2017-07-01 20:50:03.570799,-12.978012,-38.507748,0101000020E6100000014EEFE2FD4043C0EC3026FDBDF429C0
4713740,1419,611277,Shared room,,Salvador,SALVADOR,SAO PEDRO,0,0.0,1,1.0,,28.0,,Single dorm bed,Dorm,2017-07-01 20:50:03.567937,-12.98172,-38.516334,0101000020E61000000CE8853B174243C082A8FB00A4F629C0
5279709,1419,25931301,Shared room,,Salvador,SALVADOR,VITORIA,4,5.0,10,1.0,,12.0,,Shared Room in the middle of Barra,Bed & Breakfast,2017-07-01 20:50:03.565223,-13.007525,-38.527265,0101000020E6100000A8A9656B7D4343C007CE1951DA032AC0
11241328,1419,58623297,Shared room,,Salvador,SALVADOR,SANTANA,0,0.0,16,1.0,,10.0,,Fonte Nova Hostel,Hostel,2017-07-01 20:50:03.561436,-12.979685,-38.505981,0101000020E6100000DDB243FCC34043C076C3B64599F529C0
2220634,1419,611277,Shared room,,Salvador,SALVADOR,CONCEICAO DA PRAIA,4,5.0,2,1.0,,28.0,,"Dorm Beds for Carnaval, centro",House,2017-07-01 20:50:03.557947,-12.979991,-38.518054,0101000020E6100000EFC7ED974F4243C0A9BF5E61C1F529C0
2864372,1419,14247770,Shared room,,Salvador,SALVADOR,PASSO,5,5.0,8,1.0,,11.0,,Café Hostel,Dorm,2017-07-01 20:50:03.554934,-12.968616,-38.506301,0101000020E61000004F779E78CE4043C0C2C3B46FEEEF29C0
229253,1419,658147,Shared room,,Salvador,SALVADOR,SE,8,4.5,8,1.0,,11.0,,"Segurança, Limpeza e Tranquilidade",Hostel,2017-07-01 20:50:03.552151,-12.975876,-38.511807,0101000020E6100000936E4BE4824143C010E7E104A6F329C0
17166529,1419,13060597,Shared room,,Salvador,SALVADOR,SE,0,0.0,12,1.0,,10.0,,The hostel / Coletivo de 12 camas,Bed & Breakfast,2017-07-01 20:50:03.549807,-12.971945,-38.508625,0101000020E6100000C976BE9F1A4143C07D0569C6A2F129C0
3370025,1419,14122418,Shared room,,Salvador,SALVADOR,SANTANA,2,0.0,8,1.0,,10.0,,Fusion cultural guest 8 beds dorm,Dorm,2017-07-01 20:50:03.546912,-12.975412,-38.508664,0101000020E61000008753E6E61B4143C07D40A03369F329C0
1998843,1419,5438365,Shared room,,Salvador,SALVADOR,VITORIA,24,5.0,4,1.0,,10.0,,Carnival shared room w/breakfast in Barra (bed2),Apartment,2017-07-01 20:50:03.543642,-13.006087,-38.525853,0101000020E610000072C0AE264F4343C08CDCD3D51D032AC0
2552321,1419,969500,Shared room,,Salvador,LAURO DE FREITAS,LAURO DE FREITAS,1,0.0,8,1.0,,19.0,,Chalet Guesthouse/ hostel Vilas do Atlântico Bahia,Chalet,2017-07-01 20:50:03.540715,-12.885438,-38.299417,0101000020E6100000E76ED74B532643C07445292158C529C0
5259637,1419,25931301,Shared room,,Salvador,SALVADOR,VITORIA,6,4.5,4,1.0,,14.0,,4 beds dorm with private bathroom,Bed & Breakfast,2017-07-01 20:50:03.537555,-13.007965,-38.527045,0101000020E61000009A42E735764343C079060DFD13042AC0
16333938,1419,16348987,Shared room,,Salvador,SALVADOR,PILAR,0,0.0,6,1.0,,14.0,,Reveillon e Carnaval Familia em Salvador,Hostel,2017-07-01 20:50:03.534652,-12.961442,-38.502874,0101000020E61000001D01DC2C5E4043C06D00362042EC29C0
19139721,1419,58623297,Shared room,,Salvador,SALVADOR,SANTANA,0,0.0,8,1.0,,14.0,,Quarto compartilhado Ar Condicionado,Hostel,2017-07-01 20:50:03.529932,-12.977745,-38.506425,0101000020E61000003B70CE88D24043C0B1A71DFE9AF429C0
17198759,1419,23280107,Shared room,,Salvador,SALVADOR,AMARALINA,0,0.0,1,1.0,,15.0,,Casa de Arigoffe - Quartos compartilhados(Vent.) 1,Hostel,2017-07-01 20:50:03.527698,-13.007962,-38.487683,0101000020E610000057E883656C3E43C0B438639813042AC0
